Stazioni;Data;T-MIN;T-MAX
Allumiere;29/02/2020;5,5;11,9
Amatrice;01/02/2020;5,4;11,1
Amatrice;02/02/2020;3,2;15
Amatrice;03/02/2020;2,2;15,6
Amatrice;04/02/2020;-0,8;14,1
Amatrice;05/02/2020;-3,1;4
Amatrice;06/02/2020;-6,6;3,6
Amatrice;07/02/2020;-9,6;11,2
Amatrice;08/02/2020;-6,8;12,9
Amatrice;09/02/2020;-4,6;12,1
Amatrice;10/02/2020;3,4;9,1
Amatrice;11/02/2020;2,6;16
Amatrice;12/02/2020;-1,6;13,7
Amatrice;13/02/2020;-4,4;13,7
Amatrice;14/02/2020;-0,2;11,4
Amatrice;15/02/2020;-4;12,8
Amatrice;16/02/2020;-5,1;17,2
Amatrice;17/02/2020;-2,2;17,6
Amatrice;18/02/2020;-2,1;15,7
Amatrice;19/02/2020;-2,2;10,9
Amatrice;20/02/2020;-4,1;9,7
Amatrice;21/02/2020;-5,3;13,8
Amatrice;22/02/2020;-4,9;14,4
Amatrice;23/02/2020;-2,1;18
Amatrice;24/02/2020;0,6;23,5
Amatrice;25/02/2020;0,2;14,9
Amatrice;26/02/2020;-1,2;9,7
Amatrice;27/02/2020;-6,8;8,6
Amatrice;28/02/2020;-4,4;9,2
Amatrice;29/02/2020;-5,6;12,7
Anzio;01/02/2020;12,1;14,4
Anzio;02/02/2020;11,9;15,5
Anzio;03/02/2020;11,8;15,5
Anzio;04/02/2020;8,4;17,2
Anzio;05/02/2020;5,4;13,5
Anzio;06/02/2020;5,5;13,8
Anzio;07/02/2020;5,5;13,8
Anzio;08/02/2020;5;14,1
Anzio;09/02/2020;6,5;13,4
Anzio;10/02/2020;9,8;14,7
Anzio;11/02/2020;11,4;17,3
Anzio;12/02/2020;10,1;15,2
Anzio;13/02/2020;7,8;15,1
Anzio;14/02/2020;11,8;18
Anzio;15/02/2020;8,3;16,2
Anzio;16/02/2020;7,8;15,1
Anzio;17/02/2020;8,3;14,8
Anzio;18/02/2020;8,9;13,3
Anzio;19/02/2020;9,5;14
Anzio;20/02/2020;7,6;15,3
Anzio;21/02/2020;8;15,1
Anzio;22/02/2020;8,2;15,4
Anzio;23/02/2020;10,1;14,7
Anzio;24/02/2020;11,9;15,8
Anzio;25/02/2020;11,6;15,2
Anzio;26/02/2020;6,5;15,4
Anzio;27/02/2020;5;13,9
Anzio;28/02/2020;10,2;17,3
Anzio;29/02/2020;9,2;13,7
Aprilia;01/02/2020;11,6;14,4
Aprilia;02/02/2020;11,6;15,7
Aprilia;03/02/2020;10,4;17,5
Aprilia;04/02/2020;7,5;17,6
Aprilia;05/02/2020;5,1;12,8
Aprilia;06/02/2020;5,5;13,4
Aprilia;07/02/2020;5,2;14
Aprilia;08/02/2020;3,4;15
Aprilia;09/02/2020;5,4;14,4
Aprilia;10/02/2020;9,6;13,6
Aprilia;11/02/2020;10,7;17,5
Aprilia;12/02/2020;8,8;17,1
Aprilia;13/02/2020;7,1;15,4
Aprilia;14/02/2020;10,5;17,6
Aprilia;15/02/2020;7,6;16,3
Aprilia;16/02/2020;6,1;15,9
Aprilia;17/02/2020;6,6;15,7
Aprilia;18/02/2020;7,9;13,7
Aprilia;19/02/2020;7,9;14,1
Aprilia;20/02/2020;6,8;16,7
Aprilia;21/02/2020;7;15,7
Aprilia;22/02/2020;7,3;15,5
Aprilia;23/02/2020;6,6;16,5
Aprilia;24/02/2020;11,1;16
Aprilia;25/02/2020;10,3;16,1
Aprilia;26/02/2020;6,3;15,9
Aprilia;27/02/2020;3,3;13,4
Aprilia;28/02/2020;9,4;16,8
Aprilia;29/02/2020;7,6;14,8
Ardea;01/02/2020;9,9;16,2
Ardea;02/02/2020;10,4;17,3
Ardea;03/02/2020;8,3;19,5
Ardea;04/02/2020;8;19,3
Ardea;05/02/2020;3,7;13,9
Ardea;06/02/2020;-0,8;14,8
Ardea;07/02/2020;-1,6;14,7
Ardea;08/02/2020;-4,2;16,7
Ardea;09/02/2020;-0,8;16,5
Ardea;10/02/2020;9;14,5
Ardea;11/02/2020;8,2;19,9
Ardea;12/02/2020;3,2;17,7
Ardea;13/02/2020;2,6;17,1
Ardea;14/02/2020;5,5;18,8
Ardea;15/02/2020;0,5;18,3
Ardea;16/02/2020;-0,2;18
Ardea;17/02/2020;0,7;17,6
Ardea;18/02/2020;2;16,4
Ardea;19/02/2020;2,4;15,4
Ardea;20/02/2020;1,7;17,4
Ardea;21/02/2020;-1,6;16,8
Ardea;22/02/2020;0,8;17,4
Ardea;23/02/2020;1,5;16,6
Ardea;24/02/2020;9,4;17,7
Ardea;25/02/2020;8,5;17,9
Ardea;26/02/2020;6;17,1
Ardea;27/02/2020;2,6;15,6
Ardea;28/02/2020;5,1;17,7
Ardea;29/02/2020;6,3;16,7
Arsoli;01/02/2020;7,6;11,1
Arsoli;02/02/2020;8,9;18,4
Arsoli;03/02/2020;5,7;19,7
Arsoli;04/02/2020;4;17,8
Arsoli;05/02/2020;0,8;12,2
Arsoli;06/02/2020;-1,2;13
Arsoli;07/02/2020;-6;16,9
Arsoli;08/02/2020;-3;17,6
Arsoli;09/02/2020;-4,2;15,2
Arsoli;10/02/2020;5,7;10,4
Arsoli;11/02/2020;3,7;20,5
Arsoli;12/02/2020;1,3;18,7
Arsoli;13/02/2020;-2,1;15,3
Arsoli;14/02/2020;1,6;17,8
Arsoli;15/02/2020;-3,3;19,3
Arsoli;16/02/2020;-1,4;18,7
Arsoli;17/02/2020;-1;19,4
Arsoli;18/02/2020;-2,1;18,1
Arsoli;19/02/2020;0,5;16,8
Arsoli;20/02/2020;0,3;18,2
Arsoli;21/02/2020;-2,8;18,1
Arsoli;22/02/2020;-2,9;18,1
Arsoli;23/02/2020;0;20,1
Arsoli;24/02/2020;-1;20,4
Arsoli;25/02/2020;2,1;17,7
Arsoli;26/02/2020;-0,4;15,4
