Stazioni;Data;T-MIN;T-MAX
Allumiere;20/03/2020;8,1;16,0
Allumiere;21/03/2020;6,5;16,2
Allumiere;22/03/2020;5,8;16,8
Allumiere;23/03/2020;0,3;5,8
Allumiere;24/03/2020;-1,6;4,7
Allumiere;25/03/2020;-2,4;10,0
Allumiere;26/03/2020;0,1;7,6
Allumiere;27/03/2020;5,7;13,4
Allumiere;28/03/2020;5,9;14,0
Allumiere;29/03/2020;5,7;14,5
Allumiere;30/03/2020;6,0;13,9
Allumiere;31/03/2020;1,3;12,3
Amatrice;01/03/2020;1,3;12,3
Amatrice;02/03/2020;4,0;13,1
Amatrice;03/03/2020;1,9;8,1
Amatrice;04/03/2020;-1,8;10,9
Amatrice;05/03/2020;-2,1;13,7
Amatrice;06/03/2020;1,4;12,9
Amatrice;07/03/2020;-0,1;9,9
Amatrice;08/03/2020;-4,4;7,6
Amatrice;09/03/2020;-6,3;12,0
Amatrice;10/03/2020;0,4;11,8
Amatrice;11/03/2020;-2,0;20,6
Amatrice;12/03/2020;1,7;20,7
Amatrice;13/03/2020;2,2;22,1
Amatrice;14/03/2020;1,9;17,7
Amatrice;15/03/2020;-2,4;10,6
Amatrice;16/03/2020;-5,2;14,8
Amatrice;17/03/2020;-3,4;16,1
Amatrice;18/03/2020;-3,2;17,4
Amatrice;19/03/2020;-2,8;18,5
Amatrice;20/03/2020;-1,0;19,2
Amatrice;21/03/2020;0,1;17,2
Amatrice;22/03/2020;1,2;13,5
Amatrice;23/03/2020;-4,3;3,6
Amatrice;24/03/2020;-4,7;-0,2
Amatrice;25/03/2020;-5,7;2,2
Amatrice;26/03/2020;-0,9;3,1
Amatrice;27/03/2020;2,1;8,7
Amatrice;28/03/2020;0,0;11,2
Amatrice;29/03/2020;-2,7;15,6
Amatrice;30/03/2020;3,4;14,2
Amatrice;31/03/2020;-3,2;3,7
Anzio;01/03/2020;11,8;14,7
Anzio;02/03/2020;11,2;14,8
Anzio;03/03/2020;8,1;13,6
Anzio;04/03/2020;7,0;14,0
Anzio;05/03/2020;6,5;14,2
Anzio;06/03/2020;12,4;14,5
Anzio;07/03/2020;8,4;15,0
Anzio;08/03/2020;8,1;15,4
Anzio;09/03/2020;6,8;14,2
Anzio;10/03/2020;7,9;14,5
Anzio;11/03/2020;8,7;15,3
Anzio;12/03/2020;8,5;16,4
Anzio;13/03/2020;10,7;15,8
Anzio;14/03/2020;12,4;15,4
Anzio;15/03/2020;9,9;16,4
Anzio;16/03/2020;8,8;16,0
Anzio;17/03/2020;10,1;15,7
Anzio;18/03/2020;9,7;16,2
Anzio;19/03/2020;11,2;17,0
Anzio;20/03/2020;9,5;16,2
Anzio;21/03/2020;8,9;16,0
Anzio;22/03/2020;9,9;17,1
Anzio;23/03/2020;7,4;15,1
Anzio;24/03/2020;3,6;10,1
Anzio;25/03/2020;2,8;11,0
Anzio;26/03/2020;4,7;13,8
Anzio;27/03/2020;9,7;13,0
Anzio;28/03/2020;10,0;15,1
Anzio;29/03/2020;10,0;15,5
Anzio;30/03/2020;9,5;15,0
Anzio;31/03/2020;7,3;15,7
Aprilia;01/03/2020;10,9;15,2
Aprilia;02/03/2020;9,7;15,4
Aprilia;03/03/2020;7,5;13,1
Aprilia;04/03/2020;6,3;15,1
Aprilia;05/03/2020;4,7;15,3
Aprilia;06/03/2020;10,1;13,7
Aprilia;07/03/2020;7,8;15,9
Aprilia;08/03/2020;6,1;15,9
Aprilia;09/03/2020;5,6;14,3
Aprilia;10/03/2020;6,0;15,4
Aprilia;11/03/2020;6,3;17,3
Aprilia;12/03/2020;7,9;17,5
Aprilia;13/03/2020;9,5;15,5
Aprilia;14/03/2020;11,6;14,8
Aprilia;15/03/2020;9,0;16,7
Aprilia;16/03/2020;8,3;17,4
Aprilia;17/03/2020;7,6;16,7
Aprilia;18/03/2020;8,5;18,1
Aprilia;19/03/2020;9,5;19,3
Aprilia;20/03/2020;8,6;17,9
Aprilia;21/03/2020;8,8;16,9
Aprilia;22/03/2020;9,2;18,1
Aprilia;23/03/2020;6,7;14,5
Aprilia;24/03/2020;2,6;9,8
Aprilia;25/03/2020;2,7;12,1
Aprilia;26/03/2020;4,5;13,0
Aprilia;27/03/2020;9,1;13,8
Aprilia;28/03/2020;9,6;15,1
Aprilia;29/03/2020;8,7;16,3
Aprilia;30/03/2020;8,9;16,9
Aprilia;31/03/2020;6,5;17,9
Ardea;01/03/2020;11,0;16,1
Ardea;02/03/2020;8,7;16,5
Ardea;03/03/2020;7,5;14,4
Ardea;04/03/2020;1,5;16,2
Ardea;05/03/2020;6,0;16,6
Ardea;06/03/2020;11,1;15,8
Ardea;07/03/2020;5,3;16,7
Ardea;08/03/2020;4,7;19,0
Ardea;09/03/2020;1,3;16,9
Ardea;10/03/2020;2,3;17,3
Ardea;11/03/2020;2,1;18,4
Ardea;12/03/2020;3,3;18,8
Ardea;13/03/2020;6,0;18,8
Ardea;14/03/2020;10,9;17,3
Ardea;15/03/2020;9,1;19,6
Ardea;16/03/2020;2,6;18,6
Ardea;17/03/2020;1,6;18,8
Ardea;18/03/2020;3,7;20,2
Ardea;19/03/2020;2,1;20,9
Ardea;20/03/2020;1,1;19,5
Ardea;21/03/2020;1,3;19,9
Ardea;22/03/2020;3,1;19,7
Ardea;23/03/2020;6,0;15,2
Ardea;24/03/2020;2,5;11,2
Ardea;25/03/2020;0,2;13,8
Ardea;26/03/2020;4,9;13,1
Ardea;27/03/2020;6,9;16,1
Ardea;28/03/2020;7,1;18,1
Ardea;29/03/2020;6,8;18,5
Ardea;30/03/2020;4,1;18,6
Ardea;31/03/2020;3,8;19,0
Arsoli;01/03/2020;2,2;14,3
Arsoli;02/03/2020;6,8;15,7
Arsoli;03/03/2020;2,8;9,7
Arsoli;04/03/2020;-1,2;16,4
Arsoli;05/03/2020;-0,5;16,2
Arsoli;06/03/2020;5,6;14,1
Arsoli;07/03/2020;3,2;15,5
Arsoli;08/03/2020;1,6;16,4
Arsoli;09/03/2020;-0,6;15,6
Arsoli;10/03/2020;-2,1;18,3
Arsoli;11/03/2020;0,6;21,0
Arsoli;12/03/2020;0,6;21,6
Arsoli;13/03/2020;1,1;19,9
Arsoli;14/03/2020;8,3;15,2
Arsoli;15/03/2020;5,0;20,1
Arsoli;16/03/2020;0,6;20,0
Arsoli;17/03/2020;1,2;18,0
Arsoli;18/03/2020;1,5;21,4
Arsoli;19/03/2020;0,1;22,5
Arsoli;20/03/2020;2,5;21,0
Arsoli;21/03/2020;1,7;20,0
Arsoli;22/03/2020;2,5;21,1
Arsoli;23/03/2020;1,8;15,7
Arsoli;24/03/2020;-1,8;10,5
Arsoli;25/03/2020;-0,9;13,1
Arsoli;26/03/2020;3,7;12,1
Arsoli;27/03/2020;6,4;17,1
Arsoli;28/03/2020;5,8;14,4
Arsoli;29/03/2020;1,9;17,3
Arsoli;30/03/2020;6,4;17,4
Arsoli;31/03/2020;3,8;17,3
Baccano;01/03/2020;9,0;14,3
Baccano;02/03/2020;9,0;13,7
Baccano;03/03/2020;6,6;12,8
Baccano;04/03/2020;1,2;16,1
Baccano;05/03/2020;1,9;15,9
Baccano;06/03/2020;3,7;15,9
Baccano;07/03/2020;0,8;16,5
Baccano;08/03/2020;2,6;16,5
Baccano;09/03/2020;0,0;14,7
Baccano;10/03/2020;2,1;19,3
Baccano;11/03/2020;-0,3;20,3
Baccano;12/03/2020;-0,8;17,7
Baccano;13/03/2020;5,5;15,1
Baccano;14/03/2020;7,9;13,5
Baccano;15/03/2020;6,4;20,8
Baccano;16/03/2020;2,3;20,5
Baccano;17/03/2020;2,8;18,9
Baccano;18/03/2020;2,6;21,2
Baccano;19/03/2020;1,8;21,9
Baccano;20/03/2020;-1,0;20,1
Baccano;21/03/2020;-0,4;19,4
Baccano;22/03/2020;2,2;22,0
Baccano;23/03/2020;0,8;10,6
Baccano;24/03/2020;-1,9;9,3
Baccano;25/03/2020;-1,4;13,8
Baccano;26/03/2020;2,7;10,8
Baccano;27/03/2020;5,4;16,4
Baccano;28/03/2020;5,5;16,6
Baccano;29/03/2020;2,3;18,6
Baccano;30/03/2020;3,7;19,6
Baccano;31/03/2020;2,8;16,4
