data,ora,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,giorno,alba,tramonto,lunghezzadelgiorno,tmin,tmax,pioggia
12/01/20,09:06:00,82,21,23,38,105,66,0.07457627118644068,domenica,07:37:00,16:59:00,09:21:00,4.9,14.8,0.0
13/01/20,05:29:30,78,21,22,35,75,68,0.0846262341325811,lunedì,07:37:00,17:00:00,09:23:00,5.2,15.7,0.0
15/01/20,05:48:30,78,18,23,37,74,66,0.08789808917197452,mercoledì,07:36:00,17:02:00,09:26:00,4.2,15.4,0.0
17/01/20,05:29:00,79,21,23,35,74,66,0.09379509379509379,venerdì,07:35:00,17:04:00,09:29:00,4.6,15.1,0.0
18/01/20,08:39:00,93,24,22,47,147,65,0.08943862987630828,sabato,07:34:00,17:06:00,09:31:00,6.2,13.2,14.6
20/01/20,05:09:00,75,17,23,35,84,64,0.07580174927113703,lunedì,07:33:00,17:08:00,09:34:00,7.6,12.9,0.0
21/01/20,05:29:00,77,19,22,36,76,66,0.08321775312066575,martedì,07:33:00,17:09:00,09:36:00,5.9,17.1,0.0
22/01/20,07:22:00,82,20,23,39,103,65,0.08225108225108226,mercoledì,07:32:00,17:10:00,09:38:00,5.2,16.2,0.0
23/01/20,05:29:00,81,21,23,37,81,65,0.05787348586810229,giovedì,07:31:00,17:12:00,09:40:00,5.7,16.2,0.2
24/01/20,07:13:00,83,22,22,39,102,65,0.09188544152744631,venerdì,07:31:00,17:13:00,09:42:00,7.2,12.6,0.0
25/01/20,08:39:00,82,19,22,41,87,66,0.0959040959040959,sabato,07:30:00,17:14:00,09:44:00,9.4,16.2,3.4
26/01/20,08:25:00,86,23,21,42,115,65,0.08488612836438923,domenica,07:29:00,17:15:00,09:46:00,8.6,16.0,0.0
